REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,Tivoli Gardens,PARK,2018-11-19 10:00:00.000,2018-11-19 18:00:00.000,2018-11-20 08:24:32.000,2018-11-19
,Dizzy Dropper,ATTR,2022-04-07 08:30:00.000,2022-04-07 22:04:00.000,2022-04-08 08:00:30.000,2022-04-07
,Sling Shot,ATTR,2018-03-28 08:37:00.000,2018-03-28 18:12:00.000,2018-03-29 08:24:37.000,2018-03-28
,Gondola,ATTR,2019-04-11 09:55:00.000,2019-04-11 20:19:00.000,2019-04-12 08:59:29.000,2019-04-11
,Monorail,ATTR,2019-06-29 08:30:00.000,2019-06-29 20:35:00.000,2019-06-30 08:14:16.000,2019-06-29
Fermeture Réhab,Top Spin,ATTR,2019-04-07 23:59:00.000,2019-04-07 23:59:00.000,2019-04-08 07:40:04.000,2019-04-07
,PortAventura World,PARK,2018-07-17 08:30:00.000,2018-07-17 09:30:00.000,2018-07-18 07:48:41.000,2018-07-17
,Skyway,ATTR,2019-12-13 08:23:00.000,2019-12-13 18:02:00.000,2019-12-14 07:59:25.000,2019-12-13
,Sling Shot,ATTR,2018-07-21 08:33:00.000,2018-07-21 20:13:00.000,2018-07-22 07:46:24.000,2018-07-21
,Gondola,ATTR,2019-11-11 09:00:00.000,2019-11-11 18:22:00.000,2019-11-12 07:18:29.000,2019-11-11
,Tivoli Gardens,PARK,2019-04-19 08:30:00.000,2019-04-19 09:30:00.000,2019-04-20 07:43:35.000,2019-04-19
,PortAventura World,PARK,2019-02-28 08:30:00.000,2019-02-28 09:30:00.000,2019-03-01 09:23:40.000,2019-02-28
Fermeture Réhab,Kiddie Coaster,ATTR,2018-02-21 23:59:00.000,2018-02-21 23:59:00.000,2018-02-22 08:36:23.000,2018-02-21
,PortAventura World,PARK,2019-08-18 08:30:00.000,2019-08-18 09:30:00.000,2019-08-19 07:34:17.000,2019-08-18
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-09-04 23:59:00.000,2018-09-04 23:59:00.000,2018-09-05 08:12:54.000,2018-09-04
